stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
GBPUSD=X,1.8280866146087646,1641,[1.76950443],[-96.13336837],2004-04-03,2004-04-22
GBPUSD=X,1.7710086107254028,1639,[1.83291161],[101.4590168],2004-04-29,2004-05-29
GBPUSD=X,1.8482921123504639,1626,[1.93311417],[137.92066741],2004-11-19,2004-12-02
GBPUSD=X,1.9367083311080933,1622,[1.88551176],[-83.04084492],2004-12-07,2005-01-06
GBPUSD=X,1.8732906579971313,1633,[1.92329872],[81.66315961],2005-02-05,2005-03-07
GBPUSD=X,1.8496938943862915,1698,[1.81280923],[-62.630162],2005-05-14,2005-06-13
GBPUSD=X,1.7519885301589966,1757,[1.77878976],[47.08975852],2005-07-07,2005-08-06
GBPUSD=X,1.7976881265640259,1739,[1.77430797],[-40.65809882],2005-09-21,2005-10-21
GBPUSD=X,1.773710012435913,1739,[1.71889234],[-95.32793951],2005-10-29,2005-11-17
GBPUSD=X,1.7306127548217773,1727,[1.78408957],[92.35445166],2005-12-27,2006-01-26
GBPUSD=X,1.7676901817321777,1743,[1.7445004],[-40.41979194],2006-01-28,2006-02-27
GBPUSD=X,1.7430106401443481,1745,[1.80189908],[102.76031971],2006-03-29,2006-04-28
GBPUSD=X,1.8763134479522705,1676,[1.84491646],[-52.62134695],2006-05-16,2006-06-15
GBPUSD=X,1.8981095552444458,1629,[1.87578535],[-36.36612904],2006-08-09,2006-09-08
GBPUSD=X,1.8859028816223145,1620,[1.90821493],[36.14551306],2006-10-04,2006-11-03
GBPUSD=X,1.9391870498657227,1594,[1.95871031],[31.12008119],2007-01-10,2007-02-09
GBPUSD=X,1.951409935951233,1600,[1.94261527],[-14.07146454],2007-02-16,2007-03-18
GBPUSD=X,1.9733986854553223,1575,[1.98799253],[22.98529744],2007-04-04,2007-05-04
GBPUSD=X,2.009000301361084,1559,[2.01560068],[10.28999233],2007-08-28,2007-09-27
GBPUSD=X,1.9664137363433838,1598,[1.95572245],[-17.08467364],2008-04-09,2008-05-09
GBPUSD=X,1.8958064317703247,1648,[1.83560336],[-99.21466827],2008-08-13,2008-08-28
GBPUSD=X,1.7275035381317139,1751,[1.66738915],[-105.26028585],2008-10-09,2008-10-22
GBPUSD=X,1.5583120584487915,1874,[1.49149108],[-125.22251487],2008-11-07,2008-11-13
GBPUSD=X,1.458491325378418,1916,[1.52269578],[123.01573467],2008-12-27,2009-01-09
GBPUSD=X,1.629407525062561,1791,[1.67050886],[73.61249363],2009-07-04,2009-08-03
GBPUSD=X,1.6685019731521606,1793,[1.61290324],[-99.68853331],2009-08-08,2009-09-02
GBPUSD=X,1.632759690284729,1771,[1.58790648],[-79.43503571],2009-09-04,2009-10-04
GBPUSD=X,1.5879064798355103,1771,[1.66088128],[129.23837268],2009-10-05,2009-10-22
GBPUSD=X,1.6311084032058716,1803,[1.65210068],[37.84907913],2009-10-24,2009-11-23
GBPUSD=X,1.5984909534454346,1864,[1.54230547],[-104.72974205],2010-01-30,2010-02-19
GBPUSD=X,1.445797085762024,1988,[1.50679564],[121.26513529],2010-06-05,2010-06-26
GBPUSD=X,1.5472211837768555,1936,[1.56788969],[40.01422882],2010-08-27,2010-09-26
GBPUSD=X,1.5905078649520874,1909,[1.61056542],[38.28988016],2010-10-15,2010-11-14
GBPUSD=X,1.57086980342865,1957,[1.55120528],[-38.48347735],2010-12-08,2011-01-07
GBPUSD=X,1.590002179145813,1909,[1.60929537],[36.83069789],2011-01-19,2011-02-18
GBPUSD=X,1.6160049438476562,1901,[1.61220109],[-7.23111737],2011-02-24,2011-03-26
GBPUSD=X,1.6394786834716797,1870,[1.62319219],[-30.45574069],2011-04-22,2011-05-22
GBPUSD=X,1.6279751062393188,1864,[1.60261548],[-47.27035141],2011-05-27,2011-06-26
GBPUSD=X,1.5918244123458862,1877,[1.62279701],[58.13557017],2011-07-14,2011-08-13
GBPUSD=X,1.5659990310668945,1945,[1.57771003],[22.77789772],2011-09-21,2011-10-21
GBPUSD=X,1.5959653854370117,1923,[1.54770005],[-92.81424487],2011-10-28,2011-11-26
GBPUSD=X,1.550988793373108,1919,[1.54299557],[-15.33899164],2011-12-21,2012-01-20
GBPUSD=X,1.5703518390655518,1885,[1.59591436],[48.18535924],2012-03-17,2012-04-16
GBPUSD=X,1.5566624402999878,1933,[1.54870689],[-15.37808037],2012-06-27,2012-07-27
GBPUSD=X,1.571091890335083,1905,[1.62311316],[99.10050988],2012-08-22,2012-09-21
GBPUSD=X,1.6129032373428345,1917,[1.61342371],[0.99773669],2012-10-03,2012-11-02
GBPUSD=X,1.5894207954406738,1946,[1.62522352],[69.67209697],2012-11-21,2012-12-21
GBPUSD=X,1.6126431226730347,1961,[1.57828283],[-67.38052785],2012-12-28,2013-01-27
GBPUSD=X,1.571017861366272,1971,[1.52299726],[-94.64860511],2013-02-09,2013-02-22
GBPUSD=X,1.5096617937088013,1988,[1.52835095],[37.15404129],2013-03-22,2013-04-21
GBPUSD=X,1.5279772281646729,1988,[1.50950241],[-36.72793674],2013-04-26,2013-05-26
GBPUSD=X,1.6186991930007935,1854,[1.60261548],[-29.81921196],2013-10-02,2013-11-01
GBPUSD=X,1.6563969850540161,1794,[1.64983833],[-11.76623011],2014-01-02,2014-02-01
GBPUSD=X,1.6610468626022339,1782,[1.69554758],[61.48027968],2014-04-09,2014-05-09
GBPUSD=X,1.6789791584014893,1800,[1.71309149],[61.40220165],2014-06-13,2014-07-13
GBPUSD=X,1.6592552661895752,1858,[1.62137616],[-70.37938523],2014-09-02,2014-10-02
GBPUSD=X,1.5963984727859497,1887,[1.60064018],[8.00409722],2014-10-07,2014-11-06
GBPUSD=X,1.558093547821045,1939,[1.51075661],[-91.7863189],2015-01-02,2015-01-09
GBPUSD=X,1.4995876550674438,1953,[1.54590559],[90.45892704],2015-01-27,2015-02-26
GBPUSD=X,1.4833933115005493,2035,[1.50520802],[44.39292252],2015-03-26,2015-04-25
GBPUSD=X,1.5373972654342651,1993,[1.55142188],[27.95105827],2015-07-11,2015-08-10
GBPUSD=X,1.5139129161834717,2042,[1.53237915],[37.70805025],2015-10-03,2015-11-02
GBPUSD=X,1.5239256620407104,2053,[1.49296069],[-63.57108462],2015-11-20,2015-12-20
GBPUSD=X,1.4823379516601562,2068,[1.42740917],[-113.59271622],2015-12-24,2016-01-19
GBPUSD=X,1.4289796352386475,2066,[1.45961964],[63.30225253],2016-04-20,2016-05-20
GBPUSD=X,1.4481840133666992,2082,[1.47893989],[64.03373694],2016-05-25,2016-06-24
GBPUSD=X,1.2981113195419312,2372,[1.30201554],[9.260818],2016-07-13,2016-08-12
GBPUSD=X,1.2883111238479614,2398,[1.34210169],[128.98978519],2016-08-17,2016-09-08
GBPUSD=X,1.3016257286071777,2472,[1.24023318],[-151.76237297],2016-09-20,2016-10-08
GBPUSD=X,1.2218962907791138,2509,[1.24424541],[56.07394004],2016-10-19,2016-11-18
GBPUSD=X,1.2224938869476318,2554,[1.25954103],[94.61841536],2016-12-30,2017-01-29
GBPUSD=X,1.2484550476074219,2577,[1.2157464],[-84.29017782],2017-02-14,2017-03-16
GBPUSD=X,1.2776614427566528,2452,[1.29802704],[49.93644094],2017-04-26,2017-05-26
GBPUSD=X,1.275835633277893,2494,[1.29471624],[47.08823061],2017-06-17,2017-07-17
GBPUSD=X,1.3195397853851318,2447,[1.29205644],[-67.25174296],2017-08-02,2017-09-01
GBPUSD=X,1.3241175413131714,2388,[1.30532968],[-44.86541176],2017-10-05,2017-11-04
GBPUSD=X,1.344085931777954,2319,[1.39848411],[126.14937723],2017-12-30,2018-01-24
GBPUSD=X,1.4150274991989136,2292,[1.39530337],[-45.20770741],2018-01-27,2018-02-26
GBPUSD=X,1.4004818201065063,2284,[1.40864909],[18.65403748],2018-03-22,2018-04-21
GBPUSD=X,1.3247840404510498,2428,[1.30230379],[-54.58204556],2018-06-23,2018-07-23
GBPUSD=X,1.3141123056411743,2406,[1.30242252],[-28.12561584],2018-09-21,2018-10-21
GBPUSD=X,1.276943564414978,2454,[1.27844548],[3.68570638],2018-11-02,2018-12-02
GBPUSD=X,1.2521913051605225,2506,[1.30821562],[140.39692831],2019-01-04,2019-01-25
GBPUSD=X,1.31271493434906,2497,[1.3152703],[6.38075972],2019-02-27,2019-03-29
GBPUSD=X,1.2508130073547363,2626,[1.21242988],[-100.79408956],2019-07-12,2019-08-03
GBPUSD=X,1.2090436220169067,2633,[1.23423266],[66.32274783],2019-09-05,2019-10-05
GBPUSD=X,1.2212995290756226,2661,[1.27606356],[145.72709012],2019-10-11,2019-10-17
GBPUSD=X,1.290172815322876,2632,[1.29128897],[2.93772411],2019-11-01,2019-12-01
GBPUSD=X,1.3113033771514893,2592,[1.30220211],[-23.59049606],2020-01-01,2020-01-31
GBPUSD=X,1.3089004755020142,2579,[1.28889227],[-51.60116422],2020-02-01,2020-03-02
GBPUSD=X,1.295068383216858,2566,[1.23998702],[-141.33878899],2020-03-07,2020-03-17
GBPUSD=X,1.149438500404358,2769,[1.22006261],[195.55816913],2020-03-21,2020-03-28
GBPUSD=X,1.2085760831832886,2795,[1.25814652],[138.54938328],2020-05-19,2020-06-04
GBPUSD=X,1.247551679611206,2819,[1.29824615],[142.90769863],2020-07-07,2020-07-31
GBPUSD=X,1.3107877969741821,2792,[1.29599988],[-41.28785133],2020-08-19,2020-09-18
GBPUSD=X,1.2927746772766113,2799,[1.3259083],[92.74101913],2020-10-20,2020-11-19
GBPUSD=X,1.3249244689941406,2801,[1.35701787],[89.89362943],2020-11-21,2020-12-21
GBPUSD=X,1.3505300283432007,2814,[1.37294745],[63.08263707],2020-12-25,2021-01-24
GBPUSD=X,1.3866355419158936,2786,[1.41438723],[77.31619215],2021-04-27,2021-05-27
GBPUSD=X,1.3625277280807495,2892,[1.36574697],[9.31006193],2021-08-24,2021-09-23
GBPUSD=X,1.3617113828659058,2901,[1.37912011],[50.50272167],2021-09-24,2021-10-24
GBPUSD=X,1.3408420085906982,2984,[1.32631266],[-43.3555727],2021-11-17,2021-12-17
GBPUSD=X,1.3099292516708374,3021,[1.30693328],[-9.05081892],2022-03-10,2022-04-09
GBPUSD=X,1.2463854551315308,3168,[1.26173413],[48.62459564],2022-04-30,2022-05-30
GBPUSD=X,1.2167373895645142,3285,[1.17665052],[-131.68535292],2022-08-02,2022-08-24
GBPUSD=X,1.1368157863616943,3400,[1.18804359],[174.1745472],2022-11-11,2022-11-17
GBPUSD=X,1.1860145330429077,3406,[1.23566628],[169.11383319],2022-11-19,2022-12-15
GBPUSD=X,1.1969740390777588,3516,[1.22229958],[89.04458714],2023-01-05,2023-02-04
GBPUSD=X,1.2515331506729126,3434,[1.29962957],[165.16310072],2023-06-14,2023-07-14
GBPUSD=X,1.281262755393982,3483,[1.2720542],[-32.07341444],2023-07-26,2023-08-25
GBPUSD=X,1.2490007877349854,3547,[1.26849949],[69.1619097],2023-11-24,2023-12-24
GBPUSD=X,1.2677003145217896,3550,[1.26919663],[5.31191826],2023-12-26,2024-01-25
GBPUSD=X,1.2534469366073608,3594,[1.27354467],[72.23125076],2024-02-07,2024-03-08
GBPUSD=X,1.2541072368621826,3650,[1.27730238],[84.66228843],2024-05-07,2024-06-06
GBPUSD=X,1.2755752801895142,3655,[1.27289617],[-9.79214549],2024-07-06,2024-08-05
GBPUSD=X,1.2684721946716309,3668,[1.32126582],[193.64700556],2024-08-08,2024-08-27
GBPUSD=X,1.3137997388839722,3689,[1.30659175],[-26.59027398],2024-09-17,2024-10-17
GBPUSD=X,1.291372299194336,3732,[1.258479],[-122.75779581],2024-10-25,2024-11-24
GBPUSD=X,1.2627378702163696,3719,[1.22049451],[-157.10306132],2024-12-17,2025-01-14
GBPUSD=X,1.2171002626419067,3730,[1.26257849],[169.63377833],2025-01-21,2025-02-20
